variant	test	reason
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_schema_signature_one_byte_changed_refused	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_short_schema_signature_refused	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_ignores_blind_sign_policy	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_priority_fee_names_fee_payer	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_reviews_every_screen	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_soltoshi_join_untrusted_definition_shows_base_units	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_v1_schema_reviews_static_transfer_companion	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestSolanaSchemaCertified::test_certified_wrong_scope_certificate_refused	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_solana_schema_v2.TestClearsignAttestorTokenAmount::test_token_amount_mint_account_is_attested_before_signing	ClearsignAttestorSign not supported by this firmware build
full	tests.test_msg_solana_signtx.TestMsgSolanaSignTx::test_relay_certified_v0_no_lookup_proof_reaches_signer_check	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_transfer_structured	Structured TRON signing deferred to 7.15+; firmware only supports raw_data blind-sign
full	tests.test_msg_tron_signtx.TestMsgTronSignTx::test_tron_sign_trc20_transfer	Structured TRON TRC-20 signing deferred to 7.15+; firmware only supports raw_data blind-sign
full	tests.test_protect_call.TestProtectCall::test_exponential_backoff_with_reboot	Due to a known defect in the emulator, pin timeouts don't work.
full	tests.test_storage_version_gate.TestStorageVersionGateSource::test_burned_versions_are_dispatched_to_the_wipe_path	no version is declared BURNED in storage_versions.inc on this line -- STORAGE_VERSION is 17 and the whole ladder has readers. Nothing to measure here; the upgrade path is carried by test_every_shipped_version_has_a_reader.
full	tests.test_verify_typed_data.TestMsgE712Verify::test_verify	structured EIP-712 is disabled in 7.14.2; see test_structured_eip712_is_refused. Re-enable together with a canonical display implementation.
btc	tests.test_dylib_confirm_flow.TestDylibConfirmFlow::test_features_round_trip	dylib confirm-flow regression — set KK_TRANSPORT=dylib KK_DYLIB=...
btc	tests.test_dylib_confirm_flow.TestDylibConfirmFlow::test_load_device_with_auto_confirm	dylib confirm-flow regression — set KK_TRANSPORT=dylib KK_DYLIB=...
btc	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_features_dont_corrupt_capture	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
btc	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_repeated_reads_no_truncation	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
btc	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_round_trip_fits_through_ring	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
btc	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_stable_across_idle_reads	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
btc	tests.test_erc7730_compiler::test_compiles_official_uniswap_tuple_fixture_through_firmware	official ERC-7730 registry not configured
btc	tests.test_erc7730_compiler::test_official_registry_all_calldata_formats_reach_firmware	official registry and firmware validator are required
btc	tests.test_erc7730_compiler::test_compiles_official_uniswap_eip712_fixture_through_firmware	official ERC-7730 registry not configured
btc	tests.test_msg_2thorchain_signtx.TestMsg2ThorChainSignTx::test_thorchain_sign_tx_deposit	Full feature firmware required to run this test
btc	tests.test_msg_binance_sign_tx.TestMsgBinanceSignTx::test_retired_handlers_stay_unregistered	Full feature firmware required to run this test
btc	tests.test_msg_binance_sign_tx.TestMsgBinanceSignTx::test_transfer	Full feature firmware required to run this test
btc	tests.test_msg_binance_sign_tx.TestMsgBinanceSignTx::test_transfer_bep2	Full feature firmware required to run this test
btc	tests.test_msg_bip85.TestMsgBip85::test_bip85_12word_flow	Full feature firmware required to run this test
btc	tests.test_msg_bip85.TestMsgBip85::test_bip85_18word_flow	Full feature firmware required to run this test
btc	tests.test_msg_bip85.TestMsgBip85::test_bip85_24word_flow	Full feature firmware required to run this test
btc	tests.test_msg_bip85.TestMsgBip85::test_bip85_deterministic_flow	Full feature firmware required to run this test
btc	tests.test_msg_bip85.TestMsgBip85::test_bip85_different_indices_different_flows	Full feature firmware required to run this test
btc	tests.test_msg_bip85.TestMsgBip85::test_bip85_invalid_word_count	Full feature firmware required to run this test
btc	tests.test_msg_confirm_data_disclosure.TestConfirmDataDisclosure::test_binary_op_return_tail_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_confirm_data_disclosure.TestConfirmDataDisclosure::test_non_ascii_eos_memo_tail_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_confirm_data_disclosure.TestConfirmDataDisclosure::test_unknown_omni_property_changes_oled_review	Full feature firmware required to run this test
btc	tests.test_msg_confirm_data_disclosure.TestConfirmDataDisclosure::test_unknown_omni_type_changes_oled_review	Full feature firmware required to run this test
